Date,Country,Admin 2,Admin 3,Phase 1,Phase 2,Phase 3 to 5
,Burkina Faso,Centre,Kadiogo,2 571 046,52 470,0
,Burkina Faso,Plateau Central,Ganzourgou,396 714,17 392,0
,Burkina Faso,Plateau Central,Oubritenga,267 675,38 589,0
,Burkina Faso,Plateau Central,Kourwéogo,140 980,31 484,2 449
,Burkina Faso,Centre-Nord,Bam,272 671,83 619,7 271
,Burkina Faso,Centre-Nord,Namentenga,338 863,82 543,13 033
,Burkina Faso,Centre-Nord,Sanmatenga,611 532,157 408,18 102
,Burkina Faso,Centre-Ouest,Boulkièmdé,528 455,83 780,32 223
,Burkina Faso,Centre-Ouest,Sanguié,309 746,45 329,22 664
,Burkina Faso,Centre-Ouest,Sissili,257 345,22 378,0
,Burkina Faso,Centre-Ouest,Ziro,217 329,26 861,0
,Burkina Faso,Centre-Sud,Bazèga,251 063,35 444,8 861
,Burkina Faso,Centre-Sud,Nahouri,182 980,22 873,2 079
,Burkina Faso,Centre-Sud,Zoundweogo,267 962,41 470,9 570
,Burkina Faso,Sahel, Oudalan ,150 592,61 850,56 472
,Burkina Faso,Sahel, Séno ,291 624,45 676,14 054
,Burkina Faso,Sahel, Soum ,398 607,51 584,18 758
,Burkina Faso,Sahel, Yagha ,183 943,28 132,4 328
,Burkina Faso,Mouhoun,Kossi,317 579,35 683,3 568
,Burkina Faso,Mouhoun,Mouhoun,353 087,31 041,3 880
,Burkina Faso,Mouhoun,Sourou,262 301,16 743,0
,Burkina Faso,Mouhoun,Balé,259 489,16 741,2 790
,Burkina Faso,Mouhoun,Banwa,325 624,21 008,3 501
,Burkina Faso,Mouhoun,Nayala,183 668,22 958,2 087
,Burkina Faso,Est, Gnagna ,407 743,119 605,16 310
,Burkina Faso,Est, Gourma ,327 412,78 745,8 289
,Burkina Faso,Est, Tapoa ,420 707,47 270,4 727
,Burkina Faso,Est, Komandjoari ,89 535,22 667,1 133
,Burkina Faso,Est, Kompienga ,109 930,5 786,0
,Burkina Faso,Centre-Est,Boulgou,683 670,35 983,0
,Burkina Faso,Centre-Est,Kouritenga,389 855,48 184,0
,Burkina Faso,Centre-Est,Koulpélgo,315 058,35 006,0
,Burkina Faso,Centre-Ouest,Bougouriba,114 785,18 906,1 350
,Burkina Faso,Centre-Ouest,Ioba,208 162,34 285,2 449
